hiep@hiep-Inspiron-3558:~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.1  0.2 225428  9248 ?        Ss   08:48   0:04 /sbin/init spla
root         2  0.0  0.0      0     0 ?        S    08:48   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   08:48   0:00 [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   08:48   0:00 [rcu_par_gp]
root         6  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/0:0H-k
root         7  0.0  0.0      0     0 ?        I    08:48   0:02 [kworker/u8:0-i
root         8  0.0  0.0      0     0 ?        I<   08:48   0:00 [mm_percpu_wq]
root         9  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/0]
root        10  0.0  0.0      0     0 ?        I    08:48   0:01 [rcu_sched]
root        11  0.0  0.0      0     0 ?        I    08:48   0:00 [rcu_bh]
root        12  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/0]
root        13  0.0  0.0      0     0 ?        S    08:48   0:00 [watchdog/0]
root        14  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/0]
root        15  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/1]
root        16  0.0  0.0      0     0 ?        S    08:48   0:00 [watchdog/1]
root        17  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/1]
root        18  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/1]
root        19  0.0  0.0      0     0 ?        I    08:48   0:01 [kworker/1:0-ev
root        20  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/1:0H]
root        21  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/2]
root        22  0.0  0.0      0     0 ?        S    08:48   0:00 [watchdog/2]
root        23  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/2]
root        24  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/2]
root        26  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/2:0H-k
root        27  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/3]
root        28  0.0  0.0      0     0 ?        S    08:48   0:00 [watchdog/3]
root        29  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/3]
root        30  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/3]
root        32  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/3:0H-k
root        33  0.0  0.0      0     0 ?        S    08:48   0:00 [kdevtmpfs]
root        34  0.0  0.0      0     0 ?        I<   08:48   0:00 [netns]
root        35  0.0  0.0      0     0 ?        S    08:48   0:00 [rcu_tasks_kthr
root        36  0.0  0.0      0     0 ?        S    08:48   0:00 [kauditd]
root        40  0.0  0.0      0     0 ?        S    08:48   0:00 [khungtaskd]
root        41  0.0  0.0      0     0 ?        S    08:48   0:00 [oom_reaper]
root        42  0.0  0.0      0     0 ?        I<   08:48   0:00 [writeback]
root        43  0.0  0.0      0     0 ?        S    08:48   0:00 [kcompactd0]
root        44  0.0  0.0      0     0 ?        SN   08:48   0:00 [ksmd]
root        45  0.0  0.0      0     0 ?        SN   08:48   0:00 [khugepaged]
root        46  0.0  0.0      0     0 ?        I<   08:48   0:00 [crypto]
root        47  0.0  0.0      0     0 ?        I<   08:48   0:00 [kintegrityd]
root        48  0.0  0.0      0     0 ?        I<   08:48   0:00 [kblockd]
root        49  0.0  0.0      0     0 ?        I<   08:48   0:00 [ata_sff]
root        53  0.0  0.0      0     0 ?        I<   08:48   0:00 [md]
root        54  0.0  0.0      0     0 ?        I<   08:48   0:00 [edac-poller]
root        55  0.0  0.0      0     0 ?        I<   08:48   0:00 [devfreq_wq]
root        57  0.0  0.0      0     0 ?        S    08:48   0:00 [watchdogd]
root        61  0.0  0.0      0     0 ?        S    08:48   0:00 [kswapd0]
root        62  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/u9:0-r
root        63  0.0  0.0      0     0 ?        S    08:48   0:00 [ecryptfs-kthre
root       108  0.0  0.0      0     0 ?        I<   08:48   0:00 [kthrotld]
root       109  0.0  0.0      0     0 ?        I<   08:48   0:00 [acpi_thermal_p
root       114  0.0  0.0      0     0 ?        I<   08:48   0:00 [ipv6_addrconf]
root       124  0.0  0.0      0     0 ?        I<   08:48   0:00 [kstrp]
root       141  0.0  0.0      0     0 ?        I<   08:48   0:00 [charger_manage
root       189  0.0  0.0      0     0 ?        S    08:48   0:01 [irq/30-DLL06B0
root       190  0.0  0.0      0     0 ?        S    08:48   0:00 [scsi_eh_0]
root       191  0.0  0.0      0     0 ?        I<   08:48   0:00 [scsi_tmf_0]
root       192  0.0  0.0      0     0 ?        S    08:48   0:00 [scsi_eh_1]
root       193  0.0  0.0      0     0 ?        I<   08:48   0:00 [scsi_tmf_1]
root       194  0.0  0.0      0     0 ?        S    08:48   0:00 [scsi_eh_2]
root       195  0.0  0.0      0     0 ?        I<   08:48   0:00 [scsi_tmf_2]
root       196  0.0  0.0      0     0 ?        S    08:48   0:00 [scsi_eh_3]
root       197  0.0  0.0      0     0 ?        I<   08:48   0:00 [scsi_tmf_3]
root       202  0.0  0.0      0     0 ?        S    08:48   0:00 [i915/signal:0]
root       203  0.0  0.0      0     0 ?        S    08:48   0:00 [i915/signal:1]
root       204  0.0  0.0      0     0 ?        S    08:48   0:00 [i915/signal:2]
root       205  0.0  0.0      0     0 ?        S    08:48   0:00 [i915/signal:6]
root       206  0.0  0.0      0     0 ?        I<   08:48   0:00 [nvkm-disp]
root       208  0.0  0.0      0     0 ?        I<   08:48   0:00 [rmi4-poller]
root       209  0.0  0.0      0     0 ?        S    08:48   0:00 [irq/47-i2c_hid
root       211  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/2:1H-k
root       213  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/0:1H-k
root       214  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/3:1H-k
root       216  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/1:1H-k
root       217  0.0  0.0      0     0 ?        I<   08:48   0:00 [ttm_swap]
root       237  0.0  0.0      0     0 ?        S    08:48   0:00 [jbd2/sda10-8]
root       238  0.0  0.0      0     0 ?        I<   08:48   0:00 [ext4-rsv-conve
root       271  0.0  0.5 111572 20940 ?        S<s  08:48   0:00 /lib/systemd/sy
root       295  0.0  0.1  47764  6080 ?        Ss   08:48   0:01 /lib/systemd/sy
root       297  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop0]
root       300  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop1]
root       304  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop2]
root       305  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop3]
root       307  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop4]
root       308  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop5]
root       309  0.0  0.0      0     0 ?        S<   08:48   0:00 [loop6]
root       347  0.0  0.0      0     0 ?        I<   08:48   0:00 [cfg80211]
root       349  0.1  0.0      0     0 ?        S    08:48   0:06 [irq/53-iwlwifi
root       351  0.0  0.0      0     0 ?        S    08:48   0:00 [irq/54-mei_me]
root       357  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/u9:1-h
root       400  0.0  0.0      0     0 ?        I<   08:48   0:00 [kmemstick]
systemd+   616  0.0  0.0 146100  3320 ?        Ssl  08:49   0:00 /lib/systemd/sy
systemd+   618  0.0  0.1  70748  6156 ?        Ss   08:49   0:00 /lib/systemd/sy
root       715  0.0  0.2 188508  9604 ?        Ssl  08:49   0:00 /usr/sbin/therm
message+   717  0.0  0.1  51684  5872 ?        Rs   08:49   0:02 /usr/bin/dbus-d
root       734  0.0  0.1  45004  7604 ?        Ss   08:49   0:00 /sbin/wpa_suppl
root       738  0.0  0.4 179164 17412 ?        Ssl  08:49   0:00 /usr/bin/python
root       740  0.0  0.3 518044 13352 ?        Ssl  08:49   0:00 /usr/lib/udisks
syslog     741  0.0  0.1 263036  4656 ?        Ssl  08:49   0:00 /usr/sbin/rsysl
root       742  0.0  0.0   4552   776 ?        Ss   08:49   0:00 /usr/sbin/acpid
root       744  0.1  0.5 1377888 23568 ?       Ssl  08:49   0:07 /usr/lib/snapd/
root       745  0.0  0.2 310080  8816 ?        Ssl  08:49   0:00 /usr/lib/accoun
root       746  0.0  0.2 109224  8060 ?        Ss   08:49   0:00 /usr/sbin/cupsd
root       748  0.0  0.2 427252  8852 ?        Ssl  08:49   0:00 /usr/sbin/Modem
root       749  0.0  0.1  70692  6076 ?        Ss   08:49   0:00 /lib/systemd/sy
root       765  0.0  0.0  39968  3344 ?        Ss   08:49   0:00 /usr/sbin/cron 
root       766  0.0  0.0 110476  3476 ?        Ssl  08:49   0:00 /usr/sbin/irqba
avahi      768  0.0  0.0  47440  3772 ?        Ss   08:49   0:01 avahi-daemon: r
root       771  0.0  0.1  36476  4516 ?        Ss   08:49   0:00 /usr/lib/blueto
root       773  0.0  0.4 582020 18996 ?        Ssl  08:49   0:01 /usr/sbin/Netwo
root       807  0.0  0.2 311280 11140 ?        Ssl  08:49   0:00 /usr/lib/policy
avahi      842  0.0  0.0  47076   336 ?        S    08:49   0:00 avahi-daemon: c
root       849  0.0  0.2 303648 11212 ?        Ssl  08:49   0:00 /usr/sbin/cups-
root       871  0.0  0.5 195864 20172 ?        Ssl  08:49   0:00 /usr/bin/python
root       875  0.0  0.2 309720  8368 ?        Ssl  08:49   0:00 /usr/sbin/gdm3
root       889  0.0  0.2 263096  8412 ?        Sl   08:49   0:00 gdm-session-wor
gdm        923  0.0  0.2  76996  8036 ?        Ss   08:49   0:00 /lib/systemd/sy
gdm        924  0.0  0.0 114040  2596 ?        S    08:49   0:00 (sd-pam)
gdm        935  0.0  0.1 199336  5664 tty1     Ssl+ 08:49   0:00 /usr/lib/gdm3/g
gdm        937  0.0  0.1  50256  4580 ?        Ss   08:49   0:00 /usr/bin/dbus-d
gdm        939  0.0  0.3 568460 15440 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm        945  0.2  2.9 3373104 116308 tty1   Sl+  08:49   0:09 /usr/bin/gnome-
root       952  0.0  0.2 323984  9120 ?        Ssl  08:49   0:00 /usr/lib/upower
gdm        977  0.0  1.2 613936 49984 tty1     Sl+  08:49   0:00 /usr/bin/Xwayla
gdm        985  0.0  0.2 365588  8408 ?        Ssl  08:49   0:00 /usr/lib/at-spi
gdm        990  0.0  0.0  49928  3764 ?        S    08:49   0:00 /usr/bin/dbus-d
gdm        992  0.0  0.1 220760  5788 ?        Sl   08:49   0:00 /usr/lib/at-spi
gdm        996  0.0  0.2 1155200 11612 ?       Ssl  08:49   0:00 /usr/bin/pulsea
rtkit      997  0.0  0.0 183504  2844 ?        SNsl 08:49   0:00 /usr/lib/rtkit/
whoopsie  1011  0.0  0.3 468716 12964 ?        Ssl  08:49   0:00 /usr/bin/whoops
kernoops  1012  0.0  0.0  56936   420 ?        Ss   08:49   0:00 /usr/sbin/kerne
kernoops  1014  0.0  0.0  56936   420 ?        Ss   08:49   0:00 /usr/sbin/kerne
gdm       1019  0.0  0.2 376808  9828 tty1     Sl   08:49   0:00 ibus-daemon --x
gdm       1022  0.0  0.2 296024  8400 tty1     Sl   08:49   0:00 /usr/lib/ibus/i
gdm       1025  0.0  0.7 490348 29340 tty1     Sl   08:49   0:00 /usr/lib/ibus/i
gdm       1027  0.0  0.2 293972  8348 ?        Sl   08:49   0:00 /usr/lib/ibus/i
root      1036  0.0  0.2 316792  9144 ?        Ssl  08:49   0:00 /usr/lib/x86_64
root      1040  0.0  0.4 459060 18080 ?        Ssl  08:49   0:01 /usr/lib/packag
gdm       1041  0.0  0.7 638780 29932 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1051  0.0  0.2 296024  8512 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1052  0.0  0.7 489980 28632 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1054  0.0  0.7 886040 31316 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1055  0.0  0.3 395244 13940 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1057  0.0  0.1 285280  5308 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1058  0.0  0.7 642256 28860 tty1     Sl+  08:49   0:00 /usr/lib/gnome-
gdm       1062  0.0  0.8 1002576 31796 tty1    Sl+  08:49   0:00 /usr/lib/gnome-
